long1,long2,lat1,lat2
113.575,113.565,22.295,22.284999999999997
113.565,113.575,22.284999999999997,22.295
113.575,113.565,22.284999999999997,22.284999999999997
113.575,113.575,22.284999999999997,22.284999999999997
113.565,113.575,22.284999999999997,22.284999999999997
113.575,113.575,22.295,22.284999999999997
113.575,113.555,22.284999999999997,22.275
113.565,113.555,22.284999999999997,22.284999999999997
113.575,113.575,22.284999999999997,22.295
113.565,113.555,22.284999999999997,22.275
113.525,113.525,22.275,22.275
113.545,113.545,22.235,22.235
113.545,113.535,22.235,22.235
113.555,113.565,22.275,22.284999999999997
113.545,113.555,22.235,22.225
113.555,113.535,22.225,22.225
113.555,113.545,22.225,22.235
113.555,113.535,22.225,22.235
113.545,113.545,22.244999999999997,22.244999999999997
113.555,113.555,22.225,22.235
113.545,113.545,22.225,22.235
113.555,113.545,22.225,22.225
113.545,113.555,22.225,22.235
113.555,113.545,22.235,22.235
113.545,113.545,22.244999999999997,22.225
113.535,113.545,22.235,22.235
113.535,113.545,22.244999999999997,22.235
113.535,113.545,22.235,22.225
113.555,113.545,22.235,22.225
113.545,113.555,22.244999999999997,22.235
113.545,113.555,22.225,22.225
113.545,113.545,22.244999999999997,22.235
113.575,113.555,22.284999999999997,22.284999999999997
113.555,113.575,22.275,22.284999999999997
113.545,113.545,22.225,22.225
113.555,113.555,22.235,22.235
113.505,113.505,22.235,22.235
113.535,113.535,22.235,22.235
113.555,113.555,22.235,22.225
113.545,113.555,22.244999999999997,22.244999999999997
113.535,113.555,22.235,22.235
113.545,113.565,22.235,22.235
113.555,113.545,22.235,22.244999999999997
113.575,113.575,22.255,22.255
113.555,113.555,22.244999999999997,22.235
113.525,113.515,22.255,22.265
113.545,113.545,22.235,22.225
113.555,113.555,22.225,22.225
113.545,113.545,22.235,22.244999999999997
113.525,113.525,22.255,22.255
113.515,113.515,22.275,22.275
113.545,113.535,22.244999999999997,22.244999999999997
113.555,113.535,22.235,22.244999999999997
113.545,113.555,22.235,22.235
113.545,113.535,22.235,22.244999999999997
113.555,113.555,22.275,22.275
113.555,113.555,22.275,22.284999999999997
113.555,113.555,22.284999999999997,22.284999999999997
113.535,113.535,22.244999999999997,22.244999999999997
113.525,113.525,22.244999999999997,22.244999999999997
113.565,113.565,22.284999999999997,22.284999999999997
113.545,113.535,22.225,22.235
113.575,113.565,22.284999999999997,22.275
113.535,113.545,22.244999999999997,22.244999999999997
113.555,113.565,22.235,22.235
113.555,113.545,22.225,22.244999999999997
113.535,113.555,22.244999999999997,22.235
113.555,113.535,22.235,22.235
113.555,113.555,22.244999999999997,22.244999999999997
113.515,113.515,22.235,22.235
113.565,113.555,22.235,22.235
113.515,113.525,22.265,22.255
113.545,113.525,22.244999999999997,22.244999999999997
113.545,113.545,22.225,22.244999999999997
113.555,113.555,22.235,22.244999999999997
113.525,113.545,22.255,22.225
113.515,113.515,22.265,22.265
113.535,113.545,22.235,22.244999999999997
